player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Paul Reed,Ronald Holland II,DET,4,11,4,11,0,0,15,5.866666666666666,7
Duncan Robinson,Marcus Sasser,DET,4,11,0,1,4,10,15,5.866666666666666,7
Ben Saraf,Nic Claxton,BKN,11,4,11,2,0,2,15,5.866666666666666,7
Brice Sensabaugh,Kennedy Chandler,UTA,4,11,2,8,2,3,15,5.866666666666666,7
Ben Saraf,Tyson Etienne,BKN,11,4,2,3,9,1,15,5.866666666666666,7
Dorian Finney-Smith,Kevin Durant,HOU,7,5,5,2,2,3,12,5.833333333333333,2
Mikal Bridges,Mohamed Diawara,NYK,7,5,1,2,6,3,12,5.833333333333333,2
Cooper Flagg,D'Angelo Russell,DAL,5,7,2,3,3,4,12,5.833333333333333,2
Isaiah Joe,Jared McCain,OKC,5,7,1,1,4,6,12,5.833333333333333,2
Isaac Okoro,Kevin Huerter,CHI,5,7,2,6,3,1,12,5.833333333333333,2
Bam Adebayo,Myron Gardner,MIA,5,7,2,6,3,1,12,5.833333333333333,2
Anthony Edwards,Jaylen Clark,MIN,5,7,0,4,5,3,12,5.833333333333333,2
Anfernee Simons,Hugo González,BOS,7,5,3,0,4,5,12,5.833333333333333,2
Jose Alvarado,Landry Shamet,NYK,7,5,2,3,5,2,12,5.833333333333333,2
Collin Gillespie,Isaiah Livers,PHX,7,5,3,1,4,4,12,5.833333333333333,2
Jared McCain,Paul George,PHI,7,5,2,1,5,4,12,5.833333333333333,2
Quenton Jackson,Taelon Peter,IND,5,7,1,5,4,2,12,5.833333333333333,2
Desmond Bane,Jamal Cain,ORL,7,5,5,1,2,4,12,5.833333333333333,2
Jabari Walker,Tyrese Maxey,PHI,5,7,2,3,3,4,12,5.833333333333333,2
Mikal Bridges,Mitchell Robinson,NYK,7,5,7,4,0,1,12,5.833333333333333,2
Andrew Wiggins,Simone Fontecchio,MIA,7,5,2,2,5,3,12,5.833333333333333,2
Aaron Nesmith,Jay Huff,IND,7,5,3,3,4,2,12,5.833333333333333,2
Gradey Dick,Jamison Battle,TOR,5,7,1,5,4,2,12,5.833333333333333,2
Cedric Coward,Walter Clayton Jr.,MEM,4,10,2,6,2,4,14,5.714285714285714,6
Carter Bryant,Keldon Johnson,SAS,10,4,7,1,3,3,14,5.714285714285714,6
Andrew Wiggins,Kasparas Jakučionis,MIA,4,10,1,5,3,5,14,5.714285714285714,6
Jake LaRavia,Jaxson Hayes,LAL,10,4,10,1,0,3,14,5.714285714285714,6
James Harden,Jordan Miller,LAC,10,4,9,1,1,3,14,5.714285714285714,6
Gabe Vincent,Luka Dončić,LAL,4,10,1,0,3,10,14,5.714285714285714,6
Taylor Hendricks,Walter Clayton Jr.,UTA,4,10,3,5,1,5,14,5.714285714285714,6
Deni Avdija,Matisse Thybulle,POR,10,4,2,3,8,1,14,5.714285714285714,6
LaMelo Ball,Tidjane Salaün,CHA,10,4,5,1,5,3,14,5.714285714285714,6
Rayan Rupert,Walter Clayton Jr.,MEM,4,10,1,3,3,7,14,5.714285714285714,6
Isaiah Jackson,Jarace Walker,IND,4,10,3,10,1,0,14,5.714285714285714,6
Robert Williams III,Toumani Camara,POR,10,4,3,4,7,0,14,5.714285714285714,6
Ousmane Dieng,Taurean Prince,MIL,10,4,2,2,8,2,14,5.714285714285714,6
AJ Green,Gary Trent Jr.,MIL,10,4,0,0,10,4,14,5.714285714285714,6
Rob Dillingham,Tre Jones,CHI,9,4,8,2,1,2,13,5.538461538461538,5
Luke Kennard,Mouhamed Gueye,ATL,4,9,2,3,2,6,13,5.538461538461538,5
Cam Spencer,John Konchar,MEM,9,4,7,3,2,1,13,5.538461538461538,5
Jamal Shead,Ochai Agbaji,TOR,9,4,6,0,3,4,13,5.538461538461538,5
Nikola Jović,Norman Powell,MIA,9,4,6,2,3,2,13,5.538461538461538,5
Jalen Wilson,Nolan Traore,BKN,4,9,2,3,2,6,13,5.538461538461538,5
Anthony Edwards,Bones Hyland,MIN,4,9,1,8,3,1,13,5.538461538461538,5
Craig Porter Jr.,Nae'Qwan Tomlin,CLE,9,4,8,0,1,4,13,5.538461538461538,5
Jerami Grant,Sidy Cissoko,POR,4,9,2,2,2,7,13,5.538461538461538,5
Caris LeVert,Duncan Robinson,DET,9,4,6,1,3,3,13,5.538461538461538,5
Myles Turner,Ousmane Dieng,MIL,4,9,1,3,3,6,13,5.538461538461538,5
Brandon Williams,Khris Middleton,DAL,9,4,6,2,3,2,13,5.538461538461538,5
Tre Johnson,Tristan Vukcevic,WAS,9,4,7,4,2,0,13,5.538461538461538,5
Kentavious Caldwell-Pope,Vince Williams Jr.,MEM,4,9,1,7,3,2,13,5.538461538461538,5
Dean Wade,Jarrett Allen,CLE,9,4,9,2,0,2,13,5.538461538461538,5
Bennedict Mathurin,Darius Garland,LAC,4,9,2,7,2,2,13,5.538461538461538,5
Bronny James,Dalton Knecht,LAL,9,4,7,1,2,3,13,5.538461538461538,5
Sion James,Tidjane Salaün,CHA,9,4,6,2,3,2,13,5.538461538461538,5
Jevon Carter,Moritz Wagner,ORL,9,4,8,1,1,3,13,5.538461538461538,5
Ben Saraf,Ziaire Williams,BKN,9,4,5,4,4,0,13,5.538461538461538,5
Craig Porter Jr.,Jarrett Allen,CLE,34,3,34,3,0,0,37,5.513513513513513,31
Ja'Kobe Walter,Jamal Shead,TOR,3,32,1,12,2,20,35,5.485714285714286,29
Derrick Jones Jr.,Kris Dunn,LAC,3,31,2,22,1,9,34,5.470588235294118,28
Drake Powell,Terance Mann,BKN,5,6,2,4,3,2,11,5.454545454545454,1
Khris Middleton,Tre Johnson,WAS,5,6,3,4,2,2,11,5.454545454545454,1
Jaylon Tyson,Nae'Qwan Tomlin,CLE,5,6,3,3,2,3,11,5.454545454545454,1
Jordan Poole,Micah Peavy,NOP,6,5,2,2,4,3,11,5.454545454545454,1
John Konchar,Kennedy Chandler,UTA,5,6,3,3,2,3,11,5.454545454545454,1
Cason Wallace,Kenrich Williams,OKC,5,6,0,1,5,5,11,5.454545454545454,1
Bilal Coulibaly,Justin Champagnie,WAS,5,6,0,2,5,4,11,5.454545454545454,1
Brook Lopez,Kobe Sanders,LAC,5,6,2,0,3,6,11,5.454545454545454,1
De'Andre Hunter,Dean Wade,CLE,5,6,1,2,4,4,11,5.454545454545454,1
Landry Shamet,Miles McBride,NYK,5,6,1,0,4,6,11,5.454545454545454,1
Tre Johnson,Will Riley,WAS,5,6,4,3,1,3,11,5.454545454545454,1
Sidy Cissoko,Yang Hansen,POR,6,5,5,2,1,3,11,5.454545454545454,1
Jaden Hardy,Naji Marshall,DAL,6,5,4,1,2,4,11,5.454545454545454,1
Jay Huff,Johnny Furphy,IND,5,6,3,6,2,0,11,5.454545454545454,1
Keegan Murray,Precious Achiuwa,SAC,5,6,4,5,1,1,11,5.454545454545454,1
Anfernee Simons,Josh Minott,BOS,6,5,0,1,6,4,11,5.454545454545454,1
Jordan Hawkins,Trey Murphy III,NOP,6,5,1,1,5,4,11,5.454545454545454,1
Jamir Watkins,Kyshawn George,WAS,6,5,3,3,3,2,11,5.454545454545454,1
Devin Carter,Malik Monk,SAC,5,6,1,3,4,3,11,5.454545454545454,1
Guerschon Yabusele,Isaac Okoro,CHI,6,5,3,0,3,5,11,5.454545454545454,1
Ayo Dosunmu,Dalen Terry,CHI,6,5,3,1,3,4,11,5.454545454545454,1
Max Christie,Ryan Nembhard,DAL,3,29,1,6,2,23,32,5.4375,26
Jalen Williams,Luguentz Dort,OKC,29,3,10,2,19,1,32,5.4375,26
Buddy Hield,Pat Spencer,GSW,3,28,1,11,2,17,31,5.419354838709677,25
Gradey Dick,Jamal Shead,TOR,3,26,0,18,3,8,29,5.379310344827586,23
Keegan Murray,Maxime Raynaud,SAC,8,4,7,2,1,2,12,5.333333333333333,4
Alex Sarr,Will Riley,WAS,4,8,0,7,4,1,12,5.333333333333333,4
Drake Powell,Ziaire Williams,BKN,8,4,2,1,6,3,12,5.333333333333333,4
Nae'Qwan Tomlin,Thomas Bryant,CLE,8,4,5,2,3,2,12,5.333333333333333,4
Jaylon Tyson,Thomas Bryant,CLE,8,4,4,3,4,1,12,5.333333333333333,4
Coby White,Kevin Huerter,CHI,8,4,4,1,4,3,12,5.333333333333333,4
Buddy Hield,Will Richard,GSW,4,8,1,3,3,5,12,5.333333333333333,4
Aaron Holiday,Jabari Smith Jr.,HOU,8,4,3,0,5,4,12,5.333333333333333,4
Derrick Jones Jr.,Ivica Zubac,LAC,4,8,4,5,0,3,12,5.333333333333333,4
Caleb Martin,Max Christie,DAL,8,4,0,2,8,2,12,5.333333333333333,4
Deandre Ayton,Rui Hachimura,LAL,8,4,7,4,1,0,12,5.333333333333333,4
Aaron Nesmith,Bennedict Mathurin,IND,4,8,2,5,2,3,12,5.333333333333333,4
Keon Ellis,Nique Clifford,SAC,4,8,3,3,1,5,12,5.333333333333333,4
Jase Richardson,Jett Howard,ORL,8,4,2,1,6,3,12,5.333333333333333,4
Devin Carter,Precious Achiuwa,SAC,8,4,8,3,0,1,12,5.333333333333333,4
Josh Green,Miles Bridges,CHA,4,8,2,1,2,7,12,5.333333333333333,4
Donovan Mitchell,Max Strus,CLE,8,4,1,2,7,2,12,5.333333333333333,4
Deni Avdija,Rayan Rupert,POR,8,4,3,4,5,0,12,5.333333333333333,4
Brandon Miller,Tidjane Salaün,CHA,8,4,3,0,5,4,12,5.333333333333333,4
Caris LeVert,Tobias Harris,DET,8,4,2,1,6,3,12,5.333333333333333,4
Branden Carlson,Kenrich Williams,OKC,4,8,3,7,1,1,12,5.333333333333333,4
Kris Dunn,Nicolas Batum,LAC,8,4,0,3,8,1,12,5.333333333333333,4
Goga Bitadze,Jevon Carter,ORL,8,4,4,4,4,0,12,5.333333333333333,4
Caris LeVert,Isaiah Stewart,DET,23,3,20,3,3,0,26,5.3076923076923075,20
Carter Bryant,De'Aaron Fox,SAS,3,22,2,9,1,13,25,5.28,19
Anthony Davis,Ryan Nembhard,DAL,3,21,2,18,1,3,24,5.25,18
Miles Bridges,Ryan Kalkbrenner,CHA,20,3,20,2,0,1,23,5.217391304347826,17
Jalen Smith,Tre Jones,CHI,3,20,3,9,0,11,23,5.217391304347826,17
Cameron Johnson,Jonas Valančiūnas,DEN,20,3,20,1,0,2,23,5.217391304347826,17
Evan Mobley,Lonzo Ball,CLE,3,20,0,16,3,4,23,5.217391304347826,17
Jay Huff,T.J. McConnell,IND,3,20,2,10,1,10,23,5.217391304347826,17
Ochai Agbaji,Scottie Barnes,TOR,3,20,2,17,1,3,23,5.217391304347826,17
Jarrett Allen,Lonzo Ball,CLE,3,20,2,20,1,0,23,5.217391304347826,17
Devin Carter,Maxime Raynaud,SAC,19,3,18,2,1,1,22,5.181818181818182,16
Dennis Schröder,Keegan Murray,SAC,19,3,11,1,8,2,22,5.181818181818182,16
Dennis Schröder,Keon Ellis,SAC,19,3,4,0,15,3,22,5.181818181818182,16
Kobe Sanders,Kris Dunn,LAC,3,18,1,8,2,10,21,5.142857142857143,15
Daniss Jenkins,Isaiah Stewart,DET,18,3,16,0,2,3,21,5.142857142857143,15
Hugo González,Jaylen Brown,BOS,3,18,2,7,1,11,21,5.142857142857143,15
Derrick Jones Jr.,James Harden,LAC,3,17,1,12,2,5,20,5.1,14
Dennis Schröder,Keon Ellis,CLE,17,3,8,2,9,1,20,5.1,14
DeMar DeRozan,Drew Eubanks,SAC,7,4,7,4,0,0,11,5.090909090909091,3
Bennedict Mathurin,Isaiah Jackson,LAC,4,7,4,6,0,1,11,5.090909090909091,3
Jarred Vanderbilt,Jaxson Hayes,LAL,7,4,7,3,0,1,11,5.090909090909091,3
Buddy Hield,Trayce Jackson-Davis,GSW,7,4,6,1,1,3,11,5.090909090909091,3
Julian Strawther,Tim Hardaway Jr.,DEN,7,4,2,2,5,2,11,5.090909090909091,3
Kam Jones,Kobe Brown,IND,7,4,2,1,5,3,11,5.090909090909091,3
Trayce Jackson-Davis,Will Richard,GSW,4,7,2,7,2,0,11,5.090909090909091,3
John Konchar,Kyle Filipowski,UTA,7,4,6,1,1,3,11,5.090909090909091,3
Brandon Williams,Dwight Powell,DAL,7,4,7,3,0,1,11,5.090909090909091,3
Isaiah Hartenstein,Luguentz Dort,OKC,4,7,1,7,3,0,11,5.090909090909091,3
Norman Powell,Simone Fontecchio,MIA,4,7,3,6,1,1,11,5.090909090909091,3
Daeqwon Plowden,Malik Monk,SAC,4,7,1,2,3,5,11,5.090909090909091,3
Chet Holmgren,Kenrich Williams,OKC,4,7,2,6,2,1,11,5.090909090909091,3
Dru Smith,Kasparas Jakučionis,MIA,7,4,4,4,3,0,11,5.090909090909091,3
Bub Carrington,Malaki Branham,WAS,7,4,5,0,2,4,11,5.090909090909091,3
Jared McCain,VJ Edgecombe,PHI,7,4,5,1,2,3,11,5.090909090909091,3
Dominick Barlow,Kelly Oubre Jr.,PHI,4,7,3,6,1,1,11,5.090909090909091,3
Toumani Camara,Vít Krejčí,POR,4,7,0,1,4,6,11,5.090909090909091,3
Ace Bailey,John Konchar,UTA,4,7,1,4,3,3,11,5.090909090909091,3
Evan Mobley,Nae'Qwan Tomlin,CLE,7,4,6,4,1,0,11,5.090909090909091,3
Josh Giddey,Patrick Williams,CHI,16,3,1,2,15,1,19,5.052631578947368,13
Kam Jones,Micah Potter,IND,16,3,5,1,11,2,19,5.052631578947368,13
Ace Bailey,Walter Clayton Jr.,UTA,3,16,1,10,2,6,19,5.052631578947368,13
Keaton Wallace,Vít Krejčí,ATL,16,3,6,2,10,1,19,5.052631578947368,13
Coby White,Jalen Smith,CHI,15,3,5,0,10,3,18,5,12
Darius Garland,John Collins,LAC,15,3,13,1,2,2,18,5,12
Draymond Green,Will Richard,GSW,15,3,8,0,7,3,18,5,12
Deandre Ayton,Jake LaRavia,LAL,3,15,1,15,2,0,18,5,12
Collin Sexton,Isaac Okoro,CHI,5,5,3,2,2,3,10,5,0
Aaron Holiday,JD Davison,HOU,5,5,2,2,3,3,10,5,0
Craig Porter Jr.,Lonzo Ball,CLE,5,5,0,3,5,2,10,5,0
Keon Ellis,Malik Monk,SAC,5,5,2,1,3,4,10,5,0
Guerschon Yabusele,Patrick Williams,CHI,5,5,3,2,2,3,10,5,0
Grayson Allen,Jalen Green,PHX,5,5,3,0,2,5,10,5,0
Dwight Powell,Max Christie,DAL,5,5,2,5,3,0,10,5,0
Josh Green,Moussa Diabaté,CHA,5,5,5,1,0,4,10,5,0
Ivica Zubac,Nicolas Batum,LAC,5,5,0,5,5,0,10,5,0
Peyton Watson,Zeke Nnaji,DEN,5,5,3,4,2,1,10,5,0
Devin Vassell,Jeremy Sochan,SAS,5,5,3,1,2,4,10,5,0
Corey Kispert,Tre Johnson,WAS,5,5,1,1,4,4,10,5,0
Lachlan Olbrich,Rob Dillingham,CHI,5,5,3,4,2,1,10,5,0
Jalen Slawson,Jay Huff,IND,5,5,5,3,0,2,10,5,0
Bobby Portis,Gary Harris,MIL,5,5,2,4,3,1,10,5,0
Bilal Coulibaly,Tristan Vukcevic,WAS,5,5,2,4,3,1,10,5,0
Bones Hyland,Jaylen Clark,MIN,5,5,5,3,0,2,10,5,0
Corey Kispert,Onyeka Okongwu,ATL,5,5,4,3,1,2,10,5,0
Jay Huff,Obi Toppin,IND,5,5,4,5,1,0,10,5,0
Herbert Jones,Karlo Matković,NOP,14,3,9,1,5,2,17,4.9411764705882355,11
Killian Hayes,Nique Clifford,SAC,14,3,7,1,7,2,17,4.9411764705882355,11
Nikola Vučević,Payton Pritchard,BOS,3,13,1,6,2,7,16,4.875,10
Josh Giddey,Zach Collins,CHI,13,3,10,1,3,2,16,4.875,10
Cameron Payne,Trendon Watford,PHI,13,3,13,1,0,2,16,4.875,10
Derrick White,Josh Minott,BOS,13,3,6,1,7,2,16,4.875,10
Austin Reaves,Luke Kennard,LAL,13,3,6,2,7,1,16,4.875,10
Jaden Hardy,Sharife Cooper,WAS,3,13,1,3,2,10,16,4.875,10
Jordan Poole,Yves Missi,NOP,13,3,13,0,0,3,16,4.875,10
Jaylen Wells,Kentavious Caldwell-Pope,MEM,3,12,0,6,3,6,15,4.8,9
Brandon Williams,Marvin Bagley III,DAL,12,3,10,2,2,1,15,4.8,9
Cedric Coward,Olivier-Maxence Prosper,MEM,12,3,8,1,4,2,15,4.8,9
Cedric Coward,Javon Small,MEM,3,12,3,6,0,6,15,4.8,9
Dean Wade,James Harden,CLE,3,12,1,5,2,7,15,4.8,9
Tyus Jones,Wendell Carter Jr.,ORL,12,3,9,0,3,3,15,4.8,9
Duncan Robinson,Javonte Green,DET,6,4,3,2,3,2,10,4.8,2
Kris Murray,Sidy Cissoko,POR,4,6,3,3,1,3,10,4.8,2
Bennedict Mathurin,Jarace Walker,IND,6,4,2,3,4,1,10,4.8,2
Day'Ron Sharpe,Drake Powell,BKN,6,4,6,4,0,0,10,4.8,2
Jordan Poole,Saddiq Bey,NOP,6,4,4,1,2,3,10,4.8,2
Micah Peavy,Yves Missi,NOP,4,6,4,2,0,4,10,4.8,2
Caris LeVert,Kevin Huerter,DET,4,6,3,3,1,3,10,4.8,2
Jusuf Nurkić,Kyle Filipowski,UTA,6,4,3,4,3,0,10,4.8,2
Larry Nance Jr.,Tyrese Proctor,CLE,4,6,0,2,4,4,10,4.8,2
Ronald Holland II,Tobias Harris,DET,4,6,1,4,3,2,10,4.8,2
Patrick Williams,Rob Dillingham,CHI,6,4,2,1,4,3,10,4.8,2
Carter Bryant,Victor Wembanyama,SAS,4,6,2,4,2,2,10,4.8,2
Keaton Wallace,Nickeil Alexander-Walker,ATL,6,4,6,1,0,3,10,4.8,2
Jericho Sims,Taurean Prince,MIL,4,6,2,6,2,0,10,4.8,2
Reed Sheppard,Steven Adams,HOU,4,6,4,4,0,2,10,4.8,2
Alex Caruso,Luguentz Dort,OKC,6,4,3,1,3,3,10,4.8,2
Collin Sexton,Guerschon Yabusele,CHI,6,4,4,3,2,1,10,4.8,2
Jalen Pickett,Nikola Jokić,DEN,4,6,4,2,0,4,10,4.8,2
Devin Carter,Dylan Cardwell,SAC,6,4,6,4,0,0,10,4.8,2
Bobby Portis,Myles Turner,MIL,6,4,2,4,4,0,10,4.8,2
Cameron Johnson,Spencer Jones,DEN,6,4,5,2,1,2,10,4.8,2
Karl-Anthony Towns,Mitchell Robinson,NYK,6,4,6,3,0,1,10,4.8,2
Marvin Bagley III,Tre Johnson,WAS,6,4,5,3,1,1,10,4.8,2
Jimmy Butler III,Jonathan Kuminga,GSW,6,4,6,4,0,0,10,4.8,2
Davion Mitchell,Nikola Jović,MIA,11,3,3,2,8,1,14,4.714285714285714,8
Aaron Holiday,Reed Sheppard,HOU,3,11,2,0,1,11,14,4.714285714285714,8
D'Angelo Russell,Klay Thompson,DAL,11,3,4,1,7,2,14,4.714285714285714,8
Drake Powell,Michael Porter Jr.,BKN,11,3,1,2,10,1,14,4.714285714285714,8
Jaylen Brown,Nikola Vučević,BOS,11,3,8,3,3,0,14,4.714285714285714,8
Day'Ron Sharpe,Terance Mann,BKN,3,11,0,9,3,2,14,4.714285714285714,8
Dennis Schröder,Maxime Raynaud,SAC,11,3,11,3,0,0,14,4.714285714285714,8
Ausar Thompson,Javonte Green,DET,10,3,5,3,5,0,13,4.615384615384615,7
Asa Newell,Luke Kennard,ATL,3,10,1,5,2,5,13,4.615384615384615,7
Andrew Nembhard,Obi Toppin,IND,10,3,7,3,3,0,13,4.615384615384615,7
Jarred Vanderbilt,Rui Hachimura,LAL,10,3,7,2,3,1,13,4.615384615384615,7
Dru Smith,Tyler Herro,MIA,10,3,5,1,5,2,13,4.615384615384615,7
Keyonte George,Kyle Anderson,UTA,3,10,3,6,0,4,13,4.615384615384615,7
Bez Mbeng,Kennedy Chandler,UTA,3,10,1,9,2,1,13,4.615384615384615,7
Jamal Murray,Zeke Nnaji,DEN,10,3,7,1,3,2,13,4.615384615384615,7
Anthony Gill,Justin Champagnie,WAS,10,3,8,3,2,0,13,4.615384615384615,7
Andre Drummond,Trendon Watford,PHI,3,10,3,7,0,3,13,4.615384615384615,7
Ryan Rollins,Taurean Prince,MIL,10,3,0,0,10,3,13,4.615384615384615,7
Cameron Payne,Quentin Grimes,PHI,10,3,7,1,3,2,13,4.615384615384615,7
Bub Carrington,Sharife Cooper,WAS,3,10,2,1,1,9,13,4.615384615384615,7
Cody Williams,Kennedy Chandler,UTA,3,10,1,10,2,0,13,4.615384615384615,7
Derik Queen,Karlo Matković,NOP,10,3,9,3,1,0,13,4.615384615384615,7
Darius Garland,Nae'Qwan Tomlin,CLE,9,3,7,2,2,1,12,4.5,6
Jerami Grant,Vít Krejčí,POR,3,9,2,7,1,2,12,4.5,6
Collin Sexton,Tidjane Salaün,CHA,9,3,6,1,3,2,12,4.5,6
Keyonte George,Walker Kessler,UTA,9,3,5,3,4,0,12,4.5,6
Quinten Post,Will Richard,GSW,9,3,6,1,3,2,12,4.5,6
Ousmane Dieng,Pete Nance,MIL,9,3,5,2,4,1,12,4.5,6
Ryan Kalkbrenner,Sion James,CHA,3,9,0,9,3,0,12,4.5,6
Joel Embiid,Trendon Watford,PHI,3,9,2,7,1,2,12,4.5,6
Ariel Hukporti,Tyler Kolek,NYK,3,9,2,8,1,1,12,4.5,6
Andre Drummond,Paul George,PHI,3,9,1,7,2,2,12,4.5,6
Justin Edwards,Trendon Watford,PHI,3,9,2,4,1,5,12,4.5,6
Andrew Nembhard,Ethan Thompson,IND,9,3,1,2,8,1,12,4.5,6
Daniel Gafford,Khris Middleton,DAL,3,9,3,9,0,0,12,4.5,6
Jose Alvarado,Micah Peavy,NOP,9,3,8,3,1,0,12,4.5,6
Gary Harris,Ryan Rollins,MIL,9,3,5,0,4,3,12,4.5,6
Kon Knueppel,Tidjane Salaün,CHA,9,3,3,1,6,2,12,4.5,6
Kennedy Chandler,Oscar Tshiebwe,UTA,9,3,9,2,0,1,12,4.5,6
Javon Small,Jaylen Wells,MEM,9,3,3,2,6,1,12,4.5,6
Matisse Thybulle,Scoot Henderson,POR,3,9,2,2,1,7,12,4.5,6
Jock Landale,Nickeil Alexander-Walker,ATL,3,9,2,5,1,4,12,4.5,6
Isaac Okoro,Jalen Smith,CHI,9,3,4,1,5,2,12,4.5,6
Josh Green,Sion James,CHA,3,9,1,1,2,8,12,4.5,6
Dean Wade,Jaylon Tyson,CLE,9,3,5,1,4,2,12,4.5,6
Cameron Payne,VJ Edgecombe,PHI,9,3,5,0,4,3,12,4.5,6
Clint Capela,Jabari Smith Jr.,HOU,5,4,3,4,2,0,9,4.444444444444445,1
Caleb Love,Yang Hansen,POR,4,5,1,3,3,2,9,4.444444444444445,1
Bryce McGowens,Jose Alvarado,NOP,5,4,1,0,4,4,9,4.444444444444445,1
Dominick Barlow,Jared McCain,PHI,5,4,1,4,4,0,9,4.444444444444445,1
Davion Mitchell,Kasparas Jakučionis,MIA,4,5,0,2,4,3,9,4.444444444444445,1
Luke Kennard,Marcus Smart,LAL,4,5,1,2,3,3,9,4.444444444444445,1
Caleb Love,Robert Williams III,POR,5,4,5,0,0,4,9,4.444444444444445,1
Ausar Thompson,Caris LeVert,DET,5,4,3,4,2,0,9,4.444444444444445,1
Jalen Duren,Ronald Holland II,DET,4,5,4,5,0,0,9,4.444444444444445,1
Mitchell Robinson,Tyler Kolek,NYK,5,4,4,4,1,0,9,4.444444444444445,1
Jalen Brunson,Tyler Kolek,NYK,5,4,3,1,2,3,9,4.444444444444445,1
Ethan Thompson,Johnny Furphy,IND,5,4,2,2,3,2,9,4.444444444444445,1
Jalen Wilson,Terance Mann,BKN,4,5,1,0,3,5,9,4.444444444444445,1
Ethan Thompson,Pascal Siakam,IND,4,5,1,3,3,2,9,4.444444444444445,1
Coby White,Patrick Williams,CHI,5,4,1,1,4,3,9,4.444444444444445,1
Danny Wolf,Ochai Agbaji,BKN,5,4,1,2,4,2,9,4.444444444444445,1
Cam Thomas,Michael Porter Jr.,BKN,4,5,1,3,3,2,9,4.444444444444445,1
Carter Bryant,Luke Kornet,SAS,4,5,4,2,0,3,9,4.444444444444445,1
Jalen Suggs,Noah Penda,ORL,4,5,3,2,1,3,9,4.444444444444445,1
Jordan Hawkins,Zion Williamson,NOP,4,5,4,1,0,4,9,4.444444444444445,1
Gary Payton II,Will Richard,GSW,4,5,4,4,0,1,9,4.444444444444445,1
Peyton Watson,Spencer Jones,DEN,4,5,2,2,2,3,9,4.444444444444445,1
Caleb Love,Kris Murray,POR,5,4,4,1,1,3,9,4.444444444444445,1
Alex Sarr,Corey Kispert,WAS,4,5,2,4,2,1,9,4.444444444444445,1
Devin Carter,Doug McDermott,SAC,4,5,0,2,4,3,9,4.444444444444445,1
Justin Champagnie,Tristan Vukcevic,WAS,4,5,4,5,0,0,9,4.444444444444445,1
Cam Thomas,Terance Mann,BKN,4,5,3,3,1,2,9,4.444444444444445,1
Giannis Antetokounmpo,Ousmane Dieng,MIL,5,4,2,4,3,0,9,4.444444444444445,1
Chaney Johnson,Tyson Etienne,BKN,4,5,1,3,3,2,9,4.444444444444445,1
Anfernee Simons,Baylor Scheierman,BOS,5,4,3,0,2,4,9,4.444444444444445,1
Kevin Love,Walter Clayton Jr.,UTA,4,5,3,3,1,2,9,4.444444444444445,1
Jalen Duren,Marcus Sasser,DET,4,5,1,5,3,0,9,4.444444444444445,1
Jarred Vanderbilt,Luke Kennard,LAL,4,5,2,3,2,2,9,4.444444444444445,1
Malachi Smith,Tyson Etienne,BKN,8,3,1,1,7,2,11,4.363636363636363,5
Ajay Mitchell,Kenrich Williams,OKC,8,3,5,3,3,0,11,4.363636363636363,5
Pascal Siakam,RayJ Dennis,IND,3,8,0,5,3,3,11,4.363636363636363,5
Marvin Bagley III,Will Riley,WAS,3,8,2,7,1,1,11,4.363636363636363,5
Adem Bona,Paul George,PHI,3,8,1,8,2,0,11,4.363636363636363,5
Dyson Daniels,Keaton Wallace,ATL,8,3,1,3,7,0,11,4.363636363636363,5
Moses Moody,Will Richard,GSW,3,8,1,2,2,6,11,4.363636363636363,5
Quenton Jackson,T.J. McConnell,IND,3,8,3,5,0,3,11,4.363636363636363,5
Bilal Coulibaly,Trae Young,WAS,3,8,2,3,1,5,11,4.363636363636363,5
Brandon Williams,Jaden Hardy,DAL,8,3,2,3,6,0,11,4.363636363636363,5
Marvin Bagley III,Naji Marshall,DAL,3,8,3,6,0,2,11,4.363636363636363,5
Gary Trent Jr.,Jericho Sims,MIL,3,8,3,3,0,5,11,4.363636363636363,5
Lonzo Ball,Nae'Qwan Tomlin,CLE,8,3,7,0,1,3,11,4.363636363636363,5
Drew Eubanks,Malik Monk,SAC,3,8,2,8,1,0,11,4.363636363636363,5
Al Horford,Gary Payton II,GSW,8,3,6,2,2,1,11,4.363636363636363,5
Jarace Walker,Johnny Furphy,IND,8,3,5,2,3,1,11,4.363636363636363,5
Keaton Wallace,Mouhamed Gueye,ATL,8,3,6,1,2,2,11,4.363636363636363,5
Cedric Coward,Zach Edey,MEM,8,3,8,1,0,2,11,4.363636363636363,5
Ben Saraf,Malachi Smith,BKN,8,3,5,3,3,0,11,4.363636363636363,5
Buddy Hield,Gui Santos,GSW,8,3,4,2,4,1,11,4.363636363636363,5
Cedric Coward,John Konchar,MEM,3,8,2,6,1,2,11,4.363636363636363,5
Asa Newell,Dyson Daniels,ATL,3,8,3,6,0,2,11,4.363636363636363,5
Jamaree Bouyea,Rasheer Fleming,PHX,8,3,4,3,4,0,11,4.363636363636363,5
Aaron Gordon,Bruce Brown,DEN,3,8,3,6,0,2,11,4.363636363636363,5
Day'Ron Sharpe,Egor Dëmin,BKN,8,3,1,3,7,0,11,4.363636363636363,5
