player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
4203,Seth Curry,DAL,2018,NA,3028410,0,99093000,0.030561290908540463,0,0,0,3028410,0.030561290908540463
4203,Seth Curry,DAL,2020,6,7461380,1.2,109140000,0.06836521898479017,17.552785141622596,3.24,8624721.951219512,-1163341.9512195121,-0.010659171259112261
4203,Seth Curry,ORL,2015,NA,100000,0,63065000,0.0015856655831285181,0,0,0,100000,0.0015856655831285181
4203,Seth Curry,PHI,2021,7,7834449,0.5,109140000,0.07178347993402968,6.9653909292153156,1.35,3593634.1463414636,4240814.853658536,0.038856650665737
4203,Seth Curry,PHO,2015,2,48028,0,63065000,7.615634662649647e-4,0,0,0,48028,7.615634662649647e-4
4203,Seth Curry,POR,2019,5,2795000,0.3,101869000,0.027437198755264115,10.934060822898031,0.81,2012533.9024390243,782466.0975609757,0.007681101194288505
4203,Seth Curry,SAC,2016,3,947276,0.3,70000000,0.013532514285714286,22.16882935913081,0.81,1382926.8292682928,-435650.82926829276,-0.006223583275261325
4204,Shabazz Muhammad,MIL,2018,5,324203,0.2,99093000,0.003271704358531884,61.13021779564039,0.54,1305127.3170731708,-980924.3170731708,-0.00989902734878519
4204,Shabazz Muhammad,MIN,2014,1,1887120,-0.2,58679000,0.03216005726068952,-6.2188943999321715,-0.54,-772845.3658536586,2659965.365853659,0.045330788968006595
4204,Shabazz Muhammad,MIN,2015,2,1971960,0.6,63065000,0.031268691033061125,19.188523093774723,1.62,2491836.5853658537,-519876.58536585374,-0.008243504088890094
4204,Shabazz Muhammad,MIN,2016,3,2056920,-0.2,70000000,0.02938457142857143,-6.806292903953484,-0.54,-921951.2195121952,2978871.2195121953,0.042555303135888504
4204,Shabazz Muhammad,MIN,2017,4,3046299,-0.1,94143000,0.032358210382078326,-3.0904057677857626,-0.27,-619966.0975609757,3666265.0975609757,0.03894357623573687
4204,Shabazz Muhammad,MIN,2018,5,1238616,-0.3,99093000,0.012499530743846689,-24.00090100563855,-0.81,-1957690.975609756,3196306.975609756,0.0322556283048223
4206,Shane Larkin,BOS,2018,4,1471382,0.1,99093000,0.014848495857426862,6.734688884327795,0.27,652563.6585365854,818818.3414634146,0.008263130003768325
4206,Shane Larkin,BRK,2016,3,1500000,0,70000000,0.02142857142857143,0,0,0,1500000,0.02142857142857143
4206,Shane Larkin,DAL,2014,1,1536960,-0.2,58679000,0.026192675403466318,-7.635722465125963,-0.54,-772845.3658536586,2309805.365853659,0.03936340711078339
4206,Shane Larkin,NYK,2015,2,1606080,-0.4,63065000,0.025467057797510503,-15.706565052799364,-1.08,-1661224.3902439026,3267304.390243903,0.05180852121214466
4207,Solomon Hill,ATL,2021,8,2174318,-0.3,109140000,0.019922283305845702,-15.058514899844457,-0.81,-2156180.487804878,4330498.4878048785,0.039678380866821315
4207,Solomon Hill,IND,2014,1,1246680,0,58679000,0.021245760834370048,0,0,0,1246680,0.021245760834370048
4207,Solomon Hill,IND,2015,2,1302840,0.3,63065000,0.020658685483231586,14.521737128120106,0.81,1245918.2926829269,56921.70731707313,9.025879222559761e-4
4207,Solomon Hill,IND,2016,3,1358880,0.5,70000000,0.01941257142857143,25.756505357353113,1.35,2304878.048780488,-945998.0487804879,-0.013514257839721254
4207,Solomon Hill,MIA,2020,7,12758781,0,109140000,0.11690288620120945,0,0,0,12758781,0.11690288620120945
4207,Solomon Hill,NOP,2017,4,11241218,-0.4,94143000,0.11940577631900406,-3.34992168998057,-1.08,-2479864.390243903,13721082.390243903,0.1457472397336382
